"POL","CO","CON","AB","ABN","DIS","DISN","EIC","EICSUM","EICSUMN","TYPE","EMS","CANCER_TWE","CHRONIC_TWE","ACUTE_TWE"
108883,4,BUTTE,SV,SACRAMENTO VALLEY,BUT,BUTTE COUNTY AQMD,19919000100000,199,OTHER (WASTE DISPOSAL),SP,119.921456373028060868351249476476336731,,0.004889165703401339728814059420926138973071,0.00410689919085712537220380991357795673738
108883,9,EL DORADO,MC,MOUNTAIN COUNTIES,ED,EL DORADO COUNTY AQMD,33037411000000,330,PETROLEUM MARKETING,SP,7.75906248926424277125679931291153736044,,0.000316334902530342578736823194427247935441,0.00026572131812548776613893148331888826577
108883,41,SAN MATEO,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,33032611100000,330,PETROLEUM MARKETING,SP,243.507591146166,,0.009927739365058953033268101761252446184,0.008339301066649520547945205479452054794549
108883,10,FRESNO,SJV,SAN JOAQUIN VALLEY,SJU,SAN JOAQUIN VALLEY APCD,31032211000000,310,OIL AND GAS PRODUCTION,SP,6.88330556153822,,0.000280630526807657371167645140247879973908,0.000235729642518432191780821917808219178083
108883,34,SACRAMENTO,SV,SACRAMENTO VALLEY,SAC,SACRAMENTO METROPOLITAN AQMD,6001201100000,60,SERVICE AND COMMERCIAL,SP,3.37080832,,0.000137426953685583822570123939986953685584,0.000115438641095890410958904109589041095891
108883,56,VENTURA,OC2,OUTER CONTINTL SHELF-100 MILES,VEN,VENTURA COUNTY APCD,33039011000000,330,PETROLEUM MARKETING,SP,0.032751744,,0.00000133527984344422700587084148727984344423,0.00000112163506849315068493150684931506849316
108883,57,YOLO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,23099590000000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,37.33180647008302318923561408531348411113,,0.001522007765414343737330219100020934609886,0.001278486522948048739357384044017585072305
108883,57,YOLO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,43099570200000,430,MINERAL PROCESSES,SP,0,,0,0
108883,57,YOLO,SV,SACRAMENTO VALLEY,YS,YOLO-SOLANO AQMD,33038211100000,330,PETROLEUM MARKETING,SP,37.97694,,0.00154830968688845401174168297455968688846,0.001300580136986301369863013698630136986307
108883,36,SAN BERNARDINO,SC,SOUTH COAST,SC,SOUTH COAST AQMD,41040350180000,410,CHEMICAL,SP,7.71358024691358024691358024691358024691,,0.000314480603673906565839594758925048118353,0.000264163707086081515305259597497040419416
108883,56,VENTURA,SCC,SOUTH CENTRAL COAST,VEN,VENTURA COUNTY APCD,5001201100000,50,MANUFACTURING AND INDUSTRIAL,SP,0.2575,,0.00001049820613176777560339204174820613176782,0.00000881849315068493150684931506849315068497
108883,7,CONTRA COSTA,SF,SAN FRANCISCO BAY AREA,BA,BAY AREA AQMD,23024083500000,230,COATINGS AND RELATED PROCESS SOLVENTS,SP,130.6043963952,,0.005324706310958904109589041095890410958929,0.004472753301205479452054794520547945205506
